"ACCOUNTNAME","CITY","DATE","HOUSE","STREET","TRAFFICVOLUMEKB"
"Phobos","City49","09-27-2019","68","Street49","58720256"
"Uranus","City79","09-27-2019","17","Street50","38797312"
"Phobos","City48","09-27-2019","94","Street96","34603008"
"Neptune","City34","09-27-2019","51","Street81","80740352"
"Neptune","City0","09-27-2019","24","Street91","48234496"
"Saturn","City98","09-27-2019","59","Street3","66060288"
"Gaspra","City27","09-27-2019","67","Street54","57671680"
"Phobos","City50","09-27-2019","5","Street5","16777216"
"Pluto","City48","09-27-2019","53","Street98","38797312"
"Jupiter","City46","09-27-2019","19","Street26","103809024"
"Neptune","City92","09-27-2019","87","Street57","101711872"
"Mercury","City50","09-27-2019","81","Street24","37748736"
"Earth","City42","09-27-2019","41","Street98","58720256"
